state,region
Maine,Northeast
Vermont,Northeast
New Hampshire,Northeast
Massachusetts,Northeast
Rhode Island,Northeast
Connecticut,Northeast
New Jersey,Northeast
New York,Northeast
Pennsylvania,Northeast
Puerto Rico,Northeast
US Virgin Islands,Northeast
Maryland,South
Delaware,South
District of Columbia,South
Virginia,South
West Virginia,South
Kentucky,South
Tennessee,South
North Carolina,South
South Carolina,South
Georgia,South
Florida,South
Alabama,South
Mississippi,South
Louisiana,South
Arkansas,South
Oklahoma,South
Texas,South
Ohio,Midwest
Michigan,Midwest
Indiana,Midwest
Illinois,Midwest
Wisconsin,Midwest
Missouri,Midwest
Kansas,Midwest
Iowa,Midwest
Nebraska,Midwest
Minnesota,Midwest
South Dakota,Midwest
North Dakota,Midwest
Montana,West
Wyoming,West
Colorado,West
New Mexico,West
Arizona,West
Utah,West
Idaho,West
Washington,West
Oregon,West
Nevada,West
California,West
Alaska,West
Hawaii,West
Guam,West
