"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,Jan_2010,Feb_2010,Mar_2010,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,Mar_2012,Apr_2012,May_2012,Jun_2012,Jul_2012,Aug_2012,Sep_2012,Oct_2012,Nov_2012,Dec_2012,Jan_2013,Feb_2013,Mar_2013,Apr_2013,May_2013,Jun_2013,Jul_2013,Aug_2013,Sep_2013,Oct_2013,Nov_2013,Dec_2013,Jan_2014,Feb_2014,Mar_2014,Apr_2014,May_2014,Jun_2014,Jul_2014,Aug_2014,Sep_2014,Oct_2014,Nov_2014,Dec_2014,Jan_2015,Feb_2015,Mar_2015,Apr_2015,May_2015,Jun_2015,Jul_2015,Aug_2015,Sep_2015,Oct_2015,Nov_2015,Dec_2015,Jan_2016,Feb_2016,Mar_2016,Apr_2016,May_2016,Jun_2016,Jul_2016,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020
APU0400701111,0.526,0.525,0.478,0.470,0.515,0.516,0.514,0.521,0.530,0.531,0.434,0.424,0.460,0.510,0.509,0.476,0.512,0.546,0.539,0.539,0.555,0.559,0.509,0.492,0.526,0.536,0.512,0.503,0.481,0.490,0.490,0.536,0.543,0.502,0.482,0.471,0.520,0.513,0.473,0.499,0.502,0.509,0.516,0.510,0.501,0.473,0.457,0.450,0.482,0.490,0.492,0.480,0.487,0.481,0.474,0.473,0.462,0.461,0.514,0.512,0.585,0.523,0.506,0.500,0.511,0.518,0.522,0.528,0.531,0.527,0.498,0.485,0.523,0.512,0.504,0.517,0.505,0.513,0.545,0.551,0.550,0.523,0.491,0.477,0.510,0.512,0.515,0.497,0.473,0.453,0.455,0.453,0.439,0.438,0.426,0.419,0.458,0.459,0.455,0.459,0.452,0.456,0.455,0.455,0.449,0.433,0.396,0.404,0.401,0.391,0.393,0.387,0.406,0.394,0.410,0.404,0.408,0.385,0.365,0.370,0.379,0.376,0.383,,,0.422,0.416,0.413,0.404,,,
APU0400701311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0400701312,,,,,,,,,,,0.660,0.687,0.710,0.715,0.711,0.702,0.648,0.654,0.651,0.631,0.654,0.721,0.708,0.728,0.737,0.694,0.689,0.652,0.641,0.645,0.636,0.641,0.638,0.619,0.659,0.661,0.669,0.668,0.681,0.702,0.716,0.723,0.726,0.761,0.766,0.729,0.725,0.737,0.728,0.713,0.717,0.735,0.734,0.717,0.739,0.692,0.709,0.704,0.706,0.701,0.681,0.699,0.683,0.683,0.692,0.679,0.637,0.635,0.627,0.636,0.673,0.661,0.663,0.640,0.659,0.626,0.666,0.627,0.650,0.632,0.625,0.590,0.598,0.595,0.594,0.597,0.598,0.593,0.593,0.612,0.628,0.608,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0400701322,,,,,,,,,,,,,,,,,1.098,1.162,1.186,1.138,1.159,1.113,1.221,1.118,1.206,1.149,1.096,1.217,1.145,1.173,1.183,1.149,1.104,1.109,1.172,1.152,1.070,1.194,1.176,1.088,1.278,1.141,1.214,1.135,1.272,1.215,1.204,1.172,1.164,1.141,1.145,1.193,1.180,1.092,1.268,1.248,1.222,1.161,1.068,1.013,1.088,1.155,1.187,1.227,1.229,1.243,1.192,1.255,1.239,1.213,1.203,1.242,1.259,1.273,1.282,1.309,1.234,1.226,1.259,1.294,1.294,1.260,1.373,1.341,1.386,1.361,1.301,1.296,1.379,1.446,1.327,1.347,1.311,,,,,,,,,1.303,1.298,1.372,1.267,1.172,1.292,1.241,1.300,1.247,1.376,1.303,1.287,1.306,1.295,1.309,1.324,1.271,1.349,1.282,1.389,1.401,1.420,1.458,1.516,1.537,1.534,1.556,1.510,,,
APU0400702111,1.343,1.357,1.377,1.323,1.291,1.249,1.282,1.293,1.357,1.334,1.346,1.255,1.377,1.355,1.361,1.358,1.548,1.570,1.530,1.433,1.472,1.521,1.426,1.383,1.479,1.507,1.433,1.400,1.409,1.419,1.448,1.471,1.385,1.408,1.383,1.483,1.466,1.495,1.450,1.411,1.502,1.534,1.494,1.490,1.461,1.410,1.447,1.474,1.440,1.442,1.428,1.433,1.495,1.437,1.509,1.491,1.480,1.562,1.505,1.523,1.538,1.524,1.530,1.539,1.544,1.596,1.520,1.478,1.471,1.470,1.443,1.444,1.461,1.418,1.451,1.495,1.471,1.460,1.520,1.490,1.451,1.454,1.507,1.467,1.481,1.478,1.458,1.436,1.432,1.371,1.417,1.422,1.448,1.438,1.408,1.480,1.490,1.487,1.556,1.510,1.518,1.541,1.513,1.558,1.483,1.390,1.495,1.541,1.504,1.540,1.570,1.578,1.593,1.564,1.547,1.579,1.662,1.620,1.719,1.722,1.676,1.755,1.678,1.769,1.757,1.735,1.697,1.771,1.752,,,
APU0400702112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0400702212,,,,,1.386,1.406,1.404,1.379,1.499,1.474,1.550,1.579,1.538,1.545,1.656,1.698,1.643,1.617,1.506,1.635,1.799,1.811,1.840,1.874,1.817,1.814,1.844,1.890,1.852,,,,,,1.711,1.789,,,,,1.899,,,,,,,,,,,,,,,,,,,,,,,,2.127,2.171,2.164,2.097,2.177,2.049,2.243,2.003,2.065,2.105,2.003,2.063,2.169,1.994,2.035,2.100,2.114,2.077,2.145,2.106,2.085,2.091,2.139,2.215,2.123,2.118,2.055,2.235,2.160,2.124,2.226,2.055,2.399,2.303,2.399,2.358,2.141,2.156,2.115,2.101,2.155,1.921,1.983,1.983,2.005,1.910,1.980,2.123,2.036,1.936,2.124,2.033,1.952,2.046,2.077,2.111,2.041,1.983,1.960,2.105,,,,,,,,
APU0400702213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0400702221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0400702411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
