"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,Jan_2010,Feb_2010,Mar_2010,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,Mar_2012,Apr_2012,May_2012,Jun_2012,Jul_2012,Aug_2012,Sep_2012,Oct_2012,Nov_2012,Dec_2012,Jan_2013,Feb_2013,Mar_2013,Apr_2013,May_2013,Jun_2013,Jul_2013,Aug_2013,Sep_2013,Oct_2013,Nov_2013,Dec_2013,Jan_2014,Feb_2014,Mar_2014,Apr_2014,May_2014,Jun_2014,Jul_2014,Aug_2014,Sep_2014,Oct_2014,Nov_2014,Dec_2014,Jan_2015,Feb_2015,Mar_2015,Apr_2015,May_2015,Jun_2015,Jul_2015,Aug_2015,Sep_2015,Oct_2015,Nov_2015,Dec_2015,Jan_2016,Feb_2016,Mar_2016,Apr_2016,May_2016,Jun_2016,Jul_2016,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020
APU0200701111,0.483,0.477,0.466,0.458,0.484,0.480,0.486,0.493,0.478,0.469,0.439,0.427,0.475,0.481,0.481,0.489,0.505,0.506,0.532,0.540,0.546,0.548,0.507,0.521,0.532,0.531,0.526,0.534,0.531,0.559,0.572,0.567,0.559,0.523,0.511,0.524,0.527,0.526,0.491,0.521,0.523,0.530,0.530,0.528,0.514,0.526,0.482,0.477,0.503,0.529,0.529,0.535,0.470,0.470,0.468,0.472,0.466,0.457,0.452,0.445,0.451,0.453,0.453,0.448,0.448,0.433,0.430,0.430,0.422,0.413,0.382,0.378,0.399,0.405,0.397,0.401,0.472,0.474,0.484,0.482,0.479,0.475,0.444,0.448,0.461,0.455,0.460,0.456,0.470,0.469,0.469,0.466,0.459,0.457,0.455,0.441,0.468,0.459,0.465,0.471,0.470,0.476,0.455,0.440,0.445,0.434,0.429,0.431,0.426,0.434,0.431,0.427,,0.412,0.417,0.404,0.400,0.379,,,,,,,,,,,,,,
APU0200701311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0200701321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0200701322,1.128,1.157,1.176,1.150,1.139,1.107,1.058,1.116,1.151,1.188,1.187,1.197,1.168,1.113,1.236,1.247,1.262,1.232,1.208,1.265,1.204,1.248,1.322,1.291,1.284,1.302,1.281,1.295,1.316,1.333,1.385,1.378,1.276,1.300,1.301,1.247,1.219,1.341,1.235,1.301,1.367,1.420,1.424,1.440,1.325,1.444,1.352,1.324,1.321,1.313,1.285,1.335,1.265,1.259,1.263,1.258,1.266,1.198,1.196,1.039,1.159,1.224,1.256,1.273,1.283,,,,,1.217,,,,,,,,,,,,,1.265,1.257,1.279,1.212,1.238,1.285,1.266,1.179,1.275,1.257,1.209,1.284,1.249,1.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.136,1.131,1.101,1.133,1.094,,,
APU0200702111,1.332,1.288,1.311,1.313,1.329,1.329,1.330,1.311,1.305,1.348,1.244,1.359,1.265,1.263,1.268,1.327,1.331,1.214,1.281,1.288,1.309,1.277,1.203,1.231,1.200,1.259,1.275,1.313,1.280,1.323,1.384,1.389,1.364,1.347,1.277,1.288,1.280,1.295,1.279,1.300,1.339,1.347,1.384,1.338,1.379,1.323,1.332,1.332,1.298,1.325,1.302,1.335,1.298,1.304,1.281,1.288,1.274,1.316,1.226,1.280,1.258,1.284,1.296,1.313,1.332,1.305,1.336,1.304,1.322,1.320,1.280,1.322,1.337,1.324,1.339,1.352,1.260,1.234,1.244,1.226,1.233,1.220,1.231,1.263,1.243,1.257,1.219,1.204,1.238,1.217,1.209,1.207,1.204,1.189,1.190,1.178,1.130,1.133,1.175,1.191,1.202,1.215,1.194,1.167,1.139,1.175,1.173,1.157,1.116,1.169,1.104,1.178,1.162,1.199,1.192,1.156,1.181,1.177,1.246,1.240,1.240,1.278,1.283,1.284,1.291,1.321,1.342,1.333,1.378,,,
APU0200702112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0200702211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0200702212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.025,2.127,2.187,2.185,2.111,1.970,2.070,1.951,1.982,1.935,2.135,1.999,2.062,2.152,2.107,1.956,1.951,2.030,1.968,1.978,1.961,1.939,1.941,1.924,1.956,1.943,1.999,1.901,1.967,1.873,1.852,1.912,1.957,,,,,,,1.943,1.947,1.899,1.931,1.998,2.068,2.030,1.939,1.944,1.978,1.966,1.952,1.914,1.971,1.894,1.937,1.899,2.001,1.986,1.979,1.951,1.810,1.811,1.816,1.769,1.719,1.804,1.816,1.707,1.915,1.964,1.937,1.987,1.980,2.018,1.893,1.981,1.883,1.837,1.786,1.835,1.769,1.807,1.818,1.814,1.892,1.936,1.891,1.949,1.986,1.983,1.928,1.968,,,
APU0200702221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0200702411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
