"CPI Average Price Data, U.S. city average (AP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,Jan_2010,Feb_2010,Mar_2010,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,Mar_2012,Apr_2012,May_2012,Jun_2012,Jul_2012,Aug_2012,Sep_2012,Oct_2012,Nov_2012,Dec_2012,Jan_2013,Feb_2013,Mar_2013,Apr_2013,May_2013,Jun_2013,Jul_2013,Aug_2013,Sep_2013,Oct_2013,Nov_2013,Dec_2013,Jan_2014,Feb_2014,Mar_2014,Apr_2014,May_2014,Jun_2014,Jul_2014,Aug_2014,Sep_2014,Oct_2014,Nov_2014,Dec_2014,Jan_2015,Feb_2015,Mar_2015,Apr_2015,May_2015,Jun_2015,Jul_2015,Aug_2015,Sep_2015,Oct_2015,Nov_2015,Dec_2015,Jan_2016,Feb_2016,Mar_2016,Apr_2016,May_2016,Jun_2016,Jul_2016,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020
APU0300701111,0.445,0.463,0.451,0.445,0.431,0.427,0.427,0.435,0.428,0.420,0.420,0.420,0.440,0.454,0.490,0.493,0.500,0.493,0.491,0.493,0.509,0.514,0.498,0.489,0.505,0.499,0.494,0.489,0.494,0.485,0.472,0.485,0.481,0.477,0.466,0.474,0.476,0.476,0.472,0.487,0.517,0.521,0.516,0.520,0.519,0.525,0.492,0.490,0.526,0.535,0.527,0.522,0.535,0.539,0.531,0.532,0.529,0.499,0.505,0.500,0.518,0.533,0.530,0.529,0.540,0.544,0.529,0.543,0.535,0.522,0.532,0.524,0.535,0.533,0.540,0.530,0.502,0.503,0.509,0.515,0.518,0.492,0.479,0.476,0.499,0.494,0.505,0.487,0.505,0.499,0.501,0.504,0.509,0.496,0.497,0.494,0.460,0.459,0.460,0.459,0.465,0.450,0.456,0.455,0.469,0.461,0.441,0.445,0.454,0.455,0.457,0.458,0.470,0.482,0.484,0.483,0.479,0.476,0.469,0.485,0.489,0.488,0.486,0.496,0.482,0.497,0.500,0.498,0.488,,,
APU0300701312,0.814,0.785,0.791,0.807,0.786,0.787,0.792,0.779,0.772,0.763,0.800,0.817,0.825,0.831,0.845,0.808,,0.740,0.710,0.735,0.715,,,,,,,,,,,,,0.752,0.746,0.779,0.762,0.756,0.783,0.792,,,,,,0.748,0.745,0.743,0.742,0.740,0.740,0.742,0.740,0.766,0.764,0.754,0.745,,,0.696,0.697,0.690,0.700,0.690,0.687,,,,,,,,,,,,0.880,,,,,,,,,,,,0.798,0.827,0.838,0.838,0.830,0.827,0.830,0.832,0.810,0.804,0.801,0.797,0.843,0.806,0.798,0.831,0.830,0.827,0.831,0.839,0.861,0.902,0.887,0.891,0.888,0.925,0.914,0.892,0.909,0.873,0.808,0.801,0.804,0.817,,,,0.780,0.853,0.849,0.878,,,
APU0300701321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0300701322,1.114,1.098,1.133,1.059,1.030,1.076,1.080,1.098,1.092,,,,,,,,,,,,,1.212,,,,,,,1.234,1.250,1.269,1.272,1.272,1.241,1.258,1.260,1.243,1.226,1.300,1.301,1.372,,,,,,,,,,,,,,,,,1.264,1.285,1.283,1.315,1.321,1.344,1.322,1.318,1.335,1.315,1.315,1.271,1.271,1.271,1.214,1.239,1.305,1.288,1.216,1.289,1.266,1.258,1.250,1.257,1.206,1.178,1.175,1.220,1.211,1.189,1.126,1.179,1.183,1.214,1.233,1.232,1.212,1.244,1.237,1.231,1.158,1.173,1.129,1.045,1.121,1.127,1.149,1.152,1.108,1.150,1.153,1.175,1.182,1.191,1.211,1.147,,,,,,1.101,1.097,1.126,1.099,1.126,1.105,1.129,1.119,1.114,1.143,1.132,,,
APU0300702111,1.268,1.285,1.305,1.296,1.303,1.358,1.291,1.335,1.318,1.381,1.397,1.390,1.395,1.411,1.443,1.408,1.445,1.527,1.557,1.514,1.498,1.464,1.434,1.449,1.435,1.440,1.398,1.441,1.444,1.352,1.393,1.402,1.366,1.442,1.407,1.427,1.422,1.391,1.417,1.436,1.368,1.438,1.403,1.384,1.433,1.345,1.379,1.357,1.355,1.384,1.346,1.401,1.376,1.399,1.403,1.363,1.410,1.373,1.393,1.435,1.433,1.449,1.451,1.435,1.450,1.415,1.424,1.381,1.413,1.420,1.416,1.421,1.404,1.397,1.393,1.368,1.363,1.311,1.334,1.311,1.328,1.332,1.377,1.382,1.361,1.377,1.352,1.369,1.342,1.403,1.377,1.430,1.437,1.400,1.334,1.339,1.349,1.330,1.363,1.335,1.343,1.289,1.310,1.340,1.350,1.387,1.325,1.332,1.325,1.304,1.318,1.318,1.328,1.277,1.288,1.283,1.311,1.387,1.384,1.395,1.384,1.388,1.419,,1.458,1.436,1.464,1.478,1.460,,,
APU0300702112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0300702211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0300702212,1.738,1.724,1.803,1.883,1.835,1.732,1.700,1.644,1.701,1.710,1.909,1.872,1.942,1.893,1.820,1.948,1.922,1.993,1.929,2.011,2.069,2.063,2.051,2.086,1.950,2.018,2.000,1.980,1.932,1.869,1.950,1.927,1.977,1.983,1.956,1.782,1.951,1.963,1.895,1.983,1.881,1.953,1.960,1.951,1.980,1.971,1.995,2.040,1.997,1.920,1.962,2.008,1.957,1.956,1.992,2.089,2.082,1.984,2.004,2.049,2.064,2.098,2.146,2.105,2.068,1.826,1.829,1.867,1.893,1.895,1.940,1.886,1.901,1.821,1.837,1.832,1.865,1.943,1.952,1.918,1.933,1.940,1.949,1.890,1.856,1.911,1.799,1.922,1.922,1.966,1.910,1.864,1.940,1.931,1.827,1.865,,,,,,1.712,1.704,1.823,1.926,1.797,1.884,1.798,1.801,1.900,1.870,1.819,1.829,1.798,1.865,1.934,1.987,1.984,2.032,2.054,2.041,2.084,2.080,2.235,2.185,2.130,2.191,2.235,2.226,,,
APU0300702213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APU0300702221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
